grantee,grantee_url,year,amount,issue_area,sub_issue_area,grant_info
Tides Center,/grants/grantee/tides-center,2015,"$10,000",Community,,
Tides Center,/grants/grantee/tides-center,2015,"$150,000",Leadership,Investing in Our Grantees,"For Flexible Leadership Awardee convening and program development in fundraising. $150,000"
Tides Center,/grants/grantee/tides-center,2015,"$200,000",Immigrant Rights,California Civic Participation,"For the Flexible Leadership Investments Project to increase civic participation in traditionally underrepresented communities in Orange County. $200,000 over two years (2015-2017)"
Tides Center,/grants/grantee/tides-center,2015,"$16,711",Leadership,,
Tides Center,/grants/grantee/tides-center,2015,"$50,000",Community,,"To support the development and dissemination of our leadership communications. $50,000"
Tides Center,/grants/grantee/tides-center,2015,"$10,000",Leadership,Advancing Knowledge and Learning,
Tides Foundation,/grants/grantee/tides-foundation,2015,"$350,000",Gay and Lesbian Rights,Nondiscrimination,"To deepen the public's understanding of the harms caused by anti-gay discrimination and the need for redress. $350,000"
Transgender Law Center,/grants/grantee/transgender-law-center,2015,"$50,000",Leadership,Investing in Our Grantees,"For supporting the board and senior team to lead national expansion. $50,000"
Tri-City Volunteers,/grants/grantee/tri-city-volunteers,2015,"$25,000",Community,,
Trust for Public Land,/grants/grantee/trust-for-public-land,2015,"$10,000",Community,,
U.C. Berkeley Foundation,/grants/grantee/u-c-berkeley-foundation,2015,"$50,000",Community,,"For the I. Michael Heyman Endowed Chair in Law. $50,000 over five years (2015-2020)"
U.C. Berkeley Foundation,/grants/grantee/u-c-berkeley-foundation,2015,"$21,000",Education Equity,,
UFW Foundation,/grants/grantee/ufw-foundation,2015,"$50,000",Immigrant Rights,California Statewide and Local Policy,"To educate farmworkers and their families about administrative relief and to increase their civic participation. $50,000"
UFW Foundation,/grants/grantee/ufw-foundation,2015,"$44,500",Leadership,Investing in Our Grantees,"To strengthen board and executive staff in support of increased scope and doubling of staff. $44,500"
United Way of the Bay Area,/grants/grantee/united-way-of-the-bay-area,2015,"$20,000",Community,,
United We Dream Network,/grants/grantee/united-we-dream-network,2015,"$200,000",Immigrant Rights,Federal Immigration Reform,"To educate the public about the needs of undocumented youth and their families. $200,000 over two years (2015-2017)"
Unity Council,/grants/grantee/unity-council,2015,$250,Community,,
University of San Francisco,/grants/grantee/university-of-san-francisco,2015,"$15,000",Community,,
Urban Pathways,/grants/grantee/urban-pathways,2015,$200,Community,,
Wheaton College,/grants/grantee/wheaton-college,2015,"$5,000",Community,,
Women's Daytime Drop-In Center,/grants/grantee/women-s-daytime-drop-in-center,2015,"$10,000",Community,,
Women's Foundation of California,/grants/grantee/women-s-foundation-of-california,2015,"$200,000",Immigrant Rights,California Civic Participation,"To increase immigrant civic engagement in the Inland Empire. $200,000 over two years (2015-2017)"
Abode Services,/grants/grantee/abode-services,2014,"$25,000",Community,,
Achievement Rewards for College Scientists Foundation,/grants/grantee/achievement-rewards-for-college-scientists-foundation,2014,$500,Community,,
ACLU Foundation of San Diego and Imperial Counties,/grants/grantee/aclu-foundation-of-san-diego-and-imperial-counties,2014,"$15,000",Leadership,Investing in Our Grantees,
ACLU Foundation of San Diego and Imperial Counties,/grants/grantee/aclu-foundation-of-san-diego-and-imperial-counties,2014,"$25,000",Immigrant Rights,California Civic Participation,
ACLU Foundation of Southern California,/grants/grantee/aclu-foundation-of-southern-california,2014,"$65,000",Leadership,Investing in Our Grantees,"To restructure its board and develop the staff leadership needed for its integrated advocacy approach. $65,000"
ACLU Foundation of Southern California,/grants/grantee/aclu-foundation-of-southern-california,2014,"$50,000",Leadership,Investing in Our Grantees,"To support an alumni group of the first two cohorts of the Fellowship for a New California. $50,000"
ACLU Foundation of Southern California,/grants/grantee/aclu-foundation-of-southern-california,2014,"$50,000",Immigrant Rights,California Statewide and Local Policy,"To provide legal counsel to immigrant rights advocates in Orange County and the Inland Empire, and to work with police departments and advocates on enforcement reform. $50,000"
Alameda Food Bank,/grants/grantee/alameda-food-bank,2014,"$10,000",Community,,
Alliance San Diego,/grants/grantee/alliance-san-diego,2014,"$185,000",Immigrant Rights,California Civic Participation,"To promote immigrant rights and civic participation in San Diego. $185,000"
Alliance San Diego,/grants/grantee/alliance-san-diego,2014,"$35,000",Leadership,Investing in Our Grantees,"To build a senior team and strengthen fundraising capacity. $35,000"
American Civil Liberties Union Foundation,/grants/grantee/american-civil-liberties-union-foundation,2014,"$175,000",Gay and Lesbian Rights,Marriage Equality,"For the LGBT Project to pursue litigation to secure marriage equality and other relationship recognition protections for gay people. $175,000"
American Civil Liberties Union Foundation of Northern California,/grants/grantee/american-civil-liberties-union-foundation-of-northern-california,2014,"$50,000",Immigrant Rights,California Statewide and Local Policy,"To co-lead a statewide effort to assist undocumented Californians in obtaining Driver's Licenses. $50,000"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2014,"$45,000",Leadership,Investing in Our Grantees,"To build the governance and leadership structures of the California Immigrant Policy Center. $45,000"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2014,"$10,000",Community,,
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2014,"$2,500",Immigrant Rights,,
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2014,"$50,000",Leadership,Investing in Our Grantees,"For succession planning for a longtime founder-led organization. $50,000"
Asian Americans Advancing Justice - Los Angeles,/grants/grantee/asian-americans-advancing-justice-los-angeles,2014,"$200,000",Immigrant Rights,California Statewide and Local Policy,"For the California Immigrant Policy Center project to improve immigrant rights and integration policies. $200,000"
Asian Americans/Pacific Islanders in Philanthropy,/grants/grantee/asian-americans-pacific-islanders-in-philanthropy,2014,"$15,000",Leadership,,
Asian Pacific Environmental Network,/grants/grantee/asian-pacific-environmental-network,2014,"$250,000",Immigrant Rights,California Civic Participation,"To increase civic participation in Alameda County and statewide. $250,000 over two years (2014-2016)"
Asian Pacific Environmental Network,/grants/grantee/asian-pacific-environmental-network,2014,"$47,500",Leadership,Investing in Our Grantees,"For senior staff and board leadership development. $47,500"
Asian Pacific Islander Legal Outreach,/grants/grantee/asian-pacific-islander-legal-outreach,2014,"$50,000",Immigrant Rights,California Civic Participation,"To increase the number of immigrants becoming citizens in Alameda and Contra Costa counties. $50,000"
Bay Area Rescue Mission,/grants/grantee/bay-area-rescue-mission,2014,"$17,000",Community,,
Bay Area Women's and Children's Center,/grants/grantee/bay-area-women-s-and-children-s-center,2014,"$25,000",,,
Berkeley Food & Housing Project,/grants/grantee/berkeley-food-housing-project,2014,"$20,000",Community,,
Black Alliance for Just Immigration,/grants/grantee/black-alliance-for-just-immigration,2014,"$50,000",Immigrant Rights,Federal Immigration Reform,"To engage African Americans in the immigration reform debate. $50,000"
BoardSource,/grants/grantee/boardsource,2014,"$25,000",Leadership,Advancing Knowledge and Learning,
Breast Cancer Fund,/grants/grantee/breast-cancer-fund,2014,"$1,000",Community,,
Building Futures With Women & Children,/grants/grantee/building-futures-with-women-children,2014,"$7,000",Community,,
Building Opportunities for Self-Sufficiency,/grants/grantee/building-opportunities-for-self-sufficiency,2014,"$25,000",Community,,
California Academy of Sciences,/grants/grantee/california-academy-of-sciences,2014,"$5,000",Community,,
California Budget Project,/grants/grantee/california-budget-project,2014,"$60,000",Education Equity,,"To analyze how state budget proposals affect the education of low- and middle-income students in California. $60,000 over two years (2014-2016)"
California Education Partners,/grants/grantee/california-education-partners,2014,"$200,000",Education Equity,PreK-12 Systems Change,"For the California Office to Reform Education (CORE) to support the completion of a new accountability system and to encourage peer learning among ten leading school districts. $200,000"
California Pacific Medical Center Foundation,/grants/grantee/california-pacific-medical-center-foundation,2014,"$30,000",Community,,"For the African American and Sister to Sister Breast Health Programs and the Kalmanovitz Child Development Center. $30,000"
California Pacific Medical Center Foundation,/grants/grantee/california-pacific-medical-center-foundation,2014,"$2,000",Community,,
CalNonprofits,/grants/grantee/calnonprofits,2014,"$10,000",Leadership,,
Campaign for College Opportunity,/grants/grantee/campaign-for-college-opportunity,2014,"$145,000",Education Equity,College Access and Success,"To educate the public and policymakers about the higher education needs of Asian Americans and Pacific Islanders in California. $145,000"
Campaign for College Opportunity,/grants/grantee/campaign-for-college-opportunity,2014,"$50,000",Leadership,Investing in Our Grantees,"To strengthen staff leadership and to plan its next phase of work. $50,000"
Campaign for College Opportunity,/grants/grantee/campaign-for-college-opportunity,2014,"$200,000",Education Equity,College Access and Success,"To promote California policies to improve student success at community colleges. $200,000"
Campaign for College Opportunity,/grants/grantee/campaign-for-college-opportunity,2014,"$5,000",Education Equity,,
Catholic Charities CYO,/grants/grantee/catholic-charities-cyo,2014,"$20,000",Community,,
Center for Community Change,/grants/grantee/center-for-community-change,2014,"$10,000",Immigrant Rights,,
Center for Community Change,/grants/grantee/center-for-community-change,2014,"$200,000",Immigrant Rights,Federal Immigration Reform,"To support grassroots organizations in advocating for immigration reform. $200,000"
Center for Community Change,/grants/grantee/center-for-community-change,2014,"$65,000",Leadership,Investing in Our Grantees,"To strengthen its executive leadership teams and to disseminate a case study about organizational change. $65,000"
Center for Effective Philanthropy,/grants/grantee/center-for-effective-philanthropy,2014,"$5,000",Leadership,,
Central Coast Alliance United for a Sustainable Economy,/grants/grantee/central-coast-alliance-united-for-a-sustainable-economy,2014,"$50,000",Immigrant Rights,California Statewide and Local Policy,"To organize low-income families in the Central Coast to advocate for immigrant rights. $50,000"
Centro de Servicios Resource Center,/grants/grantee/centro-de-servicios-resource-center,2014,"$6,000",Community,,
Chinese for Affirmative Action,/grants/grantee/chinese-for-affirmative-action,2014,"$60,000",Immigrant Rights,California Statewide and Local Policy,"To increase the civic participation of Asian and Pacific Islander communities in San Francisco and statewide. $60,000"
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2014,"$100,000",Community,,"For emergency support to families and individuals in the Bay Area. $100,000"
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2014,"$7,450",Community,,
Chronicle Season of Sharing Fund,/grants/grantee/chronicle-season-of-sharing-fund,2014,"$500,000",Community,,"For emergency support to families and individuals in the Bay Area. $500,000"
Citizen Engagement Lab Education Fund,/grants/grantee/citizen-engagement-lab-education-fund,2014,"$200,000",Immigrant Rights,California Civic Participation,"For online advocacy and organizing in Latino and Asian American communities. $200,000"
"CityTeam Ministries, Oakland",/grants/grantee/cityteam-ministries-oakland,2014,"$15,000",Community,,
Coaching Corps,/grants/grantee/coaching-corps,2014,"$50,000",Leadership,Investing in Our Grantees,"To develop its funding model for expansion to new locations. $50,000"
Coaching Corps,/grants/grantee/coaching-corps,2014,"$100,000",Leadership,Investing in Our Grantees,"For leadership development and fundraising planning to support national expansion. $100,000"
Coalition for Humane Immigrant Rights of Los Angeles (CHIRLA),/grants/grantee/coalition-for-humane-immigrant-rights-of-los-angeles-chirla,2014,"$275,000",Immigrant Rights,California Statewide and Local Policy,"To educate Californians about the need for federal immigration reform and increase immigrant civic participation in Los Angeles. $275,000 over two years (2014-2016)"
Coalition for Humane Immigrant Rights of Los Angeles (CHIRLA),/grants/grantee/coalition-for-humane-immigrant-rights-of-los-angeles-chirla,2014,"$5,000",Immigrant Rights,,
Coalition for Humane Immigrant Rights of Los Angeles (CHIRLA),/grants/grantee/coalition-for-humane-immigrant-rights-of-los-angeles-chirla,2014,"$62,500",Leadership,Investing in Our Grantees,"To restructure the board and to build the staff leadership needed to manage significant growth. $62,500"
COFEM,/grants/grantee/cofem,2014,"$50,000",Immigrant Rights,California Civic Participation,"To increase civic participation of Mexican immigrants in California. $50,000"
Coleman Advocates for Children and Youth,/grants/grantee/coleman-advocates-for-children-and-youth,2014,"$50,000",Education Equity,College Access and Success,"For Students Making a Change to expose policymakers to the perspectives of low-income, underrepresented community college students. $50,000"
Columbia University of New York - Law School,/grants/grantee/columbia-university-of-new-york-law-school,2014,"$25,000",Gay and Lesbian Rights,Marriage Equality,
Community Awareness & Treatment Services,/grants/grantee/community-awareness-treatment-services,2014,"$20,000",Community,,
Community Initiatives,/grants/grantee/community-initiatives,2014,"$30,000",Community,,"To strengthen strategic communications to advance the work of Haas, Jr. Fund grantees. $30,000"
Community Initiatives,/grants/grantee/community-initiatives,2014,"$25,000",Education Equity,PreK-12 Systems Change,
Community Initiatives,/grants/grantee/community-initiatives,2014,"$70,000",Community,,"To strengthen strategic communications to advance the work of Haas, Jr. Fund grantees. $70,000"
Community Initiatives,/grants/grantee/community-initiatives,2014,"$10,000",Education Equity,,
Compass Family Services,/grants/grantee/compass-family-services,2014,"$10,000",Community,,
CompassPoint Nonprofit Services,/grants/grantee/compasspoint-nonprofit-services,2014,"$50,000",Leadership,Advancing Knowledge and Learning,"To update its executive transition services and share lessons from its training and consulting. $50,000"
Congregation Sha'ar Zahav,/grants/grantee/congregation-sha-ar-zahav,2014,"$1,000",Community,,
Contemporary Jewish Museum,/grants/grantee/contemporary-jewish-museum,2014,"$1,000",Community,,
Council on Foundations,/grants/grantee/council-on-foundations,2014,"$40,000",Community,,"For membership dues. $40,000"
Crossroads Fund,/grants/grantee/crossroads-fund,2014,"$35,000",Gay and Lesbian Rights,Cross Movement,"For the Solidarity Fund to help immigrant rights groups that support marriage equality. $35,000"
"Demos: A Network for Ideas & Action, Ltd.",/grants/grantee/demos-a-network-for-ideas-action-ltd,2014,"$25,000",Leadership,Advancing Knowledge and Learning,
Dolores Street Community Services,/grants/grantee/dolores-street-community-services,2014,"$25,000",Community,,
Dorothy Day House,/grants/grantee/dorothy-day-house,2014,"$10,000",Community,,
EdSource,/grants/grantee/edsource,2014,"$70,000",Education Equity,,"To provide news analyses of key education reform issues in the Bay Area and California. $70,000 over two years (2014-2016)"
Enact Global Consulting,/grants/grantee/enact-global-consulting,2014,"$110,000",Leadership,Investing in Our Grantees,"For executive coaching for San Francisco Unified School District's leadership team. $110,000"
Episcopal Community Services of San Francisco,/grants/grantee/episcopal-community-services-of-san-francisco,2014,"$25,000",Community,,
Equality Federation Institute,/grants/grantee/equality-federation-institute,2014,"$75,000",Leadership,Investing in Our Grantees,"For strengthening leadership and racial-equity approaches of state-based LGBT organizations. $75,000"
Equality North Carolina Foundation,/grants/grantee/equality-north-carolina-foundation,2014,"$100,000",Gay and Lesbian Rights,Nondiscrimination,"To educate North Carolinians about the harms caused by anti-gay discrimination and to engage in cross-movement work. $100,000"
Equality Ohio Education Fund,/grants/grantee/equality-ohio-education-fund,2014,"$3,000",Gay and Lesbian Rights,Nondiscrimination,
Equality Ohio Education Fund,/grants/grantee/equality-ohio-education-fund,2014,"$15,000",Gay and Lesbian Rights,Nondiscrimination,
Exploratorium,/grants/grantee/exploratorium,2014,"$3,000",Community,,
Family Emergency Shelter Coalition,/grants/grantee/family-emergency-shelter-coalition,2014,"$15,000",Community,,
Farmworker Justice Fund,/grants/grantee/farmworker-justice-fund,2014,"$150,000",Immigrant Rights,Federal Immigration Reform,"To educate policymakers and the public about the need for a path to citizenship for farmworkers in California and the nation. $150,000 over two years (2014-2016)"
Food Runners,/grants/grantee/food-runners,2014,"$50,000",Community,,"To pick up and deliver salvaged food to San Francisco shelters and food programs. $50,000 over two years (2014-2016)"
Foundation Center,/grants/grantee/foundation-center,2014,"$15,000",Community,,
Foundation Financial Officers Group,/grants/grantee/foundation-financial-officers-group,2014,"$2,400",Community,,
Foundation of City College of San Francisco,/grants/grantee/foundation-of-city-college-of-san-francisco,2014,"$200,000",Education Equity,College Access and Success,"To strengthen board governance and retain accreditation. $200,000"
Freedom to Marry,/grants/grantee/freedom-to-marry,2014,"$375,000",Gay and Lesbian Rights,Marriage Equality,"To provide leadership and messaging support to the national marriage equality movement. $375,000"
Funders for LGBTQ Issues,/grants/grantee/funders-for-lgbtq-issues,2014,"$80,000",Gay and Lesbian Rights,Increasing LGBT Resources,"To increase foundation giving to the gay community. $80,000 over two years (2014-2016)"
Gay & Lesbian Advocates & Defenders,/grants/grantee/gay-lesbian-advocates-defenders,2014,"$80,000",Gay and Lesbian Rights,Marriage Equality,"To provide assistance in marriage equality lawsuits being litigated by private attorneys. $80,000"
Gay & Lesbian Advocates & Defenders,/grants/grantee/gay-lesbian-advocates-defenders,2014,$500,Gay and Lesbian Rights,,
GetEQUAL Education Fund,/grants/grantee/getequal-education-fund,2014,"$50,000",Gay and Lesbian Rights,Nondiscrimination,"To continue developing a replicable model to organize joint actions uniting rural immigrant and gay communities. $50,000"
Gill Foundation,/grants/grantee/gill-foundation,2014,"$100,000",Gay and Lesbian Rights,Research & Communications,"For the Movement Advancement Project, to conduct research to develop messaging around gay rights and ""religious liberty"" issues and to study the fundraising capacities of leading gay organizations. $100,000"
Glide Foundation,/grants/grantee/glide-foundation,2014,"$25,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2014,"$10,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2014,"$5,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2014,"$5,000",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2014,"$12,500",Community,,
Golden Gate National Parks Conservancy,/grants/grantee/golden-gate-national-parks-conservancy,2014,"$1,400",Community,,
Good Samaritan Family Resource Center of San Francisco,/grants/grantee/good-samaritan-family-resource-center-of-san-francisco,2014,"$2,500",,,
Grantmakers Concerned with Immigrants and Refugees,/grants/grantee/grantmakers-concerned-with-immigrants-and-refugees,2014,"$275,000",Immigrant Rights,California Statewide and Local Policy,"To increase philanthropic support for immigrant integration in California and nationally. $275,000 over two years (2014-2016)"
Grantmakers Concerned with Immigrants and Refugees,/grants/grantee/grantmakers-concerned-with-immigrants-and-refugees,2014,"$100,000",Immigrant Rights,California Statewide and Local Policy,"To increase philanthropic support for immigrant integration in California and nationally. $100,000"
"Grantmakers for Children, Youth and Families",/grants/grantee/grantmakers-for-children-youth-and-families,2014,$500,Education Equity,,
Grantmakers for Education,/grants/grantee/grantmakers-for-education,2014,"$4,000",Education Equity,,
Grantmakers for Effective Organizations,/grants/grantee/grantmakers-for-effective-organizations,2014,"$80,000",Leadership,Advancing Knowledge and Learning,"To help foundations adopt best practices in grantmaking, including making leadership development a core funder strategy. $80,000 over two years (2014-2016)"
Grants Managers Network,/grants/grantee/grants-managers-network,2014,"$2,500",Leadership,,
Grassroots Institute for Fundraising Training,/grants/grantee/grassroots-institute-for-fundraising-training,2014,"$10,000",Leadership,Advancing Knowledge and Learning,
Haas Jr. Fund Matching Gifts Program,/grants/grantee/haas-jr-fund-matching-gifts-program,2014,"$97,220",Community,,NOT PUBLIC
Hispanics in Philanthropy,/grants/grantee/hispanics-in-philanthropy,2014,"$3,000",Leadership,,
Hispanics in Philanthropy,/grants/grantee/hispanics-in-philanthropy,2014,"$5,000",Community,,
Homeless Prenatal Program,/grants/grantee/homeless-prenatal-program,2014,$500,Community,,
Homeless Prenatal Program,/grants/grantee/homeless-prenatal-program,2014,"$10,000",Community,,
Horizons Foundation,/grants/grantee/horizons-foundation,2014,"$175,000",Gay and Lesbian Rights,Increasing LGBT Resources,"To test strategies to increase contributions from gay people to advance equal rights for gays and lesbians. $175,000"
Immigrant Legal Resource Center,/grants/grantee/immigrant-legal-resource-center,2014,"$50,000",Immigrant Rights,Federal Immigration Reform,"For the Ready California project to coordinate and expand legal and other services in preparation for potential federal administrative relief for undocumented immigrants. $50,000"
Immigrant Legal Resource Center,/grants/grantee/immigrant-legal-resource-center,2014,"$200,000",Immigrant Rights,California Civic Participation,"For the New Americans Campaign to increase the number of new citizens in California and nationwide. $200,000"
Immigrant Legal Resource Center,/grants/grantee/immigrant-legal-resource-center,2014,"$42,000",Leadership,Investing in Our Grantees,"To help the New Americans Campaign create innovative ways to increase citizenship numbers. $42,000"
Independent Sector,/grants/grantee/independent-sector,2014,"$12,500",Community,,
"Inland Congregations United for Change Sponsoring Committee, Inc.",/grants/grantee/inland-congregations-united-for-change-sponsoring-committee-inc,2014,"$50,000",Immigrant Rights,California Statewide and Local Policy,"For the Justice for Immigrants Coalition project to educate the public in the Inland Empire about the need for immigration reform. $50,000"
Institute on Aging,/grants/grantee/institute-on-aging,2014,"$5,000",Community,,
Interfaith Movement for Human Integrity,/grants/grantee/interfaith-movement-for-human-integrity,2014,"$63,000",Leadership,Investing in Our Grantees,"To restructure and strengthen board and staff leadership. $63,000"
Interfaith Movement for Human Integrity,/grants/grantee/interfaith-movement-for-human-integrity,2014,"$150,000",Immigrant Rights,California Civic Participation,"To activate California faith communities in promoting immigrant rights and integration. $150,000 over two years (2014-2016)"
International Institute of the Bay Area,/grants/grantee/international-institute-of-the-bay-area,2014,"$50,000",Immigrant Rights,California Statewide and Local Policy,"To help Bay Area Dreamers obtain temporary legalization and work authorization. $50,000"
Intersections,/grants/grantee/intersections,2014,"$150,000",Gay and Lesbian Rights,Marriage Equality,"For the Believe Out Loud project's online campaign to amplify and support clergy and lay leaders advocating for gay equality. $150,000 over 18 months (2014-2015)"
Jewish Community Federation of San Francisco,/grants/grantee/jewish-community-federation-of-san-francisco,2014,"$250,000",Community,,"For general support. $250,000 over two years (2014-2016)"
L.A. LGBT Center,/grants/grantee/l-a-lgbt-center,2014,"$115,000",Gay and Lesbian Rights,Nondiscrimination,"To test the most effective messages to educate the public about the importance of protecting LGBT people from discrimination. $115,000"
Lambda Legal Defense and Education Fund,/grants/grantee/lambda-legal-defense-and-education-fund,2014,"$112,500",Gay and Lesbian Rights,Marriage Equality,"To provide legal advice and other assistance in marriage equality lawsuits being litigated by private attorneys. $112,500"
Management Center,/grants/grantee/management-center,2014,"$50,000",Leadership,Investing in Our Grantees,"To help social-justice leaders strengthen the performance of their teams. $50,000"
Many Voices,/grants/grantee/many-voices,2014,"$60,000",Gay and Lesbian Rights,Nondiscrimination,"To build support for gay equality among African American clergy in North Carolina. $60,000"
MassEquality Education Fund,/grants/grantee/massequality-education-fund,2014,"$40,000",Leadership,Investing in Our Grantees,"To diversify staff and board in order to seize post-marriage opportunities. $40,000"
Mexican American Legal Defense and Educational Fund (MALDEF),/grants/grantee/mexican-american-legal-defense-and-educational-fund-maldef,2014,"$75,000",Immigrant Rights,California Statewide and Local Policy,"For the California Immigrant Youth Justice Alliance project to organize and develop the leadership of Dreamers. $75,000"
Mexican American Legal Defense and Educational Fund (MALDEF),/grants/grantee/mexican-american-legal-defense-and-educational-fund-maldef,2014,"$300,000",Immigrant Rights,California Statewide and Local Policy,"To protect the civil rights of Latino immigrants in California. $300,000 over two years (2014-2016)"
Mobilize the Immigrant Vote,/grants/grantee/mobilize-the-immigrant-vote,2014,"$45,000",Leadership,Investing in Our Grantees,"To build executive leadership and governance of this young, statewide coalition. $45,000"
Mobilize the Immigrant Vote,/grants/grantee/mobilize-the-immigrant-vote,2014,"$200,000",Immigrant Rights,California Civic Participation,"To increase civic participation in immigrant communities throughout California. $200,000 over two years (2014-2016)"
More Light Presbyterians,/grants/grantee/more-light-presbyterians,2014,"$40,000",Leadership,Investing in Our Grantees,"To provide a new executive director with coaching and governance support. $40,000"
Mujeres Unidas y Activas,/grants/grantee/mujeres-unidas-y-activas,2014,"$100,000",Immigrant Rights,California Statewide and Local Policy,"To organize and develop Latina leadership for immigrant rights. $100,000 over two years (2014-2016)"
Museum of Modern Art,/grants/grantee/museum-of-modern-art,2014,"$5,000",Community,,
National Center for Family Philanthropy,/grants/grantee/national-center-for-family-philanthropy,2014,"$30,000",Community,,"For general support. $30,000"
National Center for Family Philanthropy,/grants/grantee/national-center-for-family-philanthropy,2014,"$2,000",Community,,
National Center for Lesbian Rights,/grants/grantee/national-center-for-lesbian-rights,2014,"$40,000",Gay and Lesbian Rights,Marriage Equality,"To educate the public about anti-gay myths and stereotypes of the movement against marriage equality. $40,000"
National Center for Lesbian Rights,/grants/grantee/national-center-for-lesbian-rights,2014,"$112,500",Gay and Lesbian Rights,Marriage Equality,"To advance marriage equality and immigrant rights through litigation and advocacy. $112,500"
National Center for Transgender Equality,/grants/grantee/national-center-for-transgender-equality,2014,"$130,000",Gay and Lesbian Rights,Nondiscrimination,"To advocate for federal and state agency policy reforms to protect transgender people from discrimination. $130,000 over two years (2014-2016)"
National Committee for Responsive Philanthropy,/grants/grantee/national-committee-for-responsive-philanthropy,2014,"$32,500",Leadership,Advancing Knowledge and Learning,"For promoting investments in social change leadership. $32,500"
National Day Laborer Organizing Network,/grants/grantee/national-day-laborer-organizing-network,2014,"$125,000",Immigrant Rights,Federal Immigration Reform,"To organize day laborers to protect and expand their civil and human rights. $125,000"
National Immigration Forum,/grants/grantee/national-immigration-forum,2014,"$150,000",Immigrant Rights,Federal Immigration Reform,"To lift up faith, business and law enforcement voices in support of immigration reform and integration. $150,000"
National Immigration Law Center,/grants/grantee/national-immigration-law-center,2014,"$50,000",Leadership,Investing in Our Grantees,"For restructuring and strengthening its senior team. $50,000"
National Immigration Law Center,/grants/grantee/national-immigration-law-center,2014,"$250,000",Immigrant Rights,Federal Immigration Reform,"To advocate for rights and benefits for immigrants, including Dreamers. $250,000 over two years (2014-2016)"
National Korean American Service & Education Consortium,/grants/grantee/national-korean-american-service-education-consortium,2014,"$7,500",Immigrant Rights,,
National Korean American Service & Education Consortium,/grants/grantee/national-korean-american-service-education-consortium,2014,"$200,000",Immigrant Rights,California Civic Participation,"To promote civic participation and add Asian American voices to immigration policy debates. $200,000 over two years (2014-2016)"
National Korean American Service & Education Consortium,/grants/grantee/national-korean-american-service-education-consortium,2014,"$47,000",Leadership,Investing in Our Grantees,"To build the senior leadership team and strategic plan needed for national expansion. $47,000"
National Lesbian & Gay Journalists Association,/grants/grantee/national-lesbian-gay-journalists-association,2014,"$160,000",Gay and Lesbian Rights,Research & Communications,"To provide gay newspaper editors and bloggers with in-depth information about key issues in the struggle for gay equality and immigration reform. $160,000 over two years (2014-2016)"
National LGBTQ Task Force Foundation,/grants/grantee/national-lgbtq-task-force-foundation,2014,"$200,000",Gay and Lesbian Rights,Marriage Equality,"To equip state and local organizations with the skills required for successful public education campaigns. $200,000"
National LGBTQ Task Force Foundation,/grants/grantee/national-lgbtq-task-force-foundation,2014,"$650,000",Gay and Lesbian Rights,Marriage Equality,"For the Institute for Welcoming Resources and its partner organizations to increase public support for marriage equality and other civil rights protections. $650,000"
National LGBTQ Task Force Foundation,/grants/grantee/national-lgbtq-task-force-foundation,2014,"$20,000",Gay and Lesbian Rights,Cross Movement,
National Queer Asian Pacific Islander Alliance,/grants/grantee/national-queer-asian-pacific-islander-alliance,2014,"$50,000",Gay and Lesbian Rights,Cross Movement,"To increase understanding and support for immigration reform within the gay community. $50,000"
Native Americans in Philanthropy,/grants/grantee/native-americans-in-philanthropy,2014,"$2,500",Leadership,,
NEO Philanthropy,/grants/grantee/neo-philanthropy,2014,"$15,000",Immigrant Rights,California Civic Participation,
NEO Philanthropy,/grants/grantee/neo-philanthropy,2014,"$41,000",Leadership,Investing in Our Grantees,"For the GetEQUAL project's strategic planning, and for strengthening its co-director leadership structure. $41,000"
NEO Philanthropy,/grants/grantee/neo-philanthropy,2014,"$200,000",Immigrant Rights,California Civic Participation,"For the Asian American Pacific Islander Civic Engagement Fund to build the capacity of AAPI organizations to increase civic participation. $200,000"
NEO Philanthropy,/grants/grantee/neo-philanthropy,2014,"$50,000",Leadership,Strengthening Social Movements,"For the Social Transformation Project to improve the efficacy of consultants serving social justice leaders and organizations. $50,000"
NEO Philanthropy,/grants/grantee/neo-philanthropy,2014,"$100,000",Immigrant Rights,Federal Immigration Reform,"For the Define American project to advance dialogue about immigrants and immigration reform. $100,000"
NEO Philanthropy,/grants/grantee/neo-philanthropy,2014,"$200,000",Immigrant Rights,Federal Immigration Reform,"For the Four Freedoms Fund program to strengthen state and regional advocacy for immigration reforms. $200,000"
